From Type;From Name;Edge Type;To Type;To Name;Weight;Label
Station;Madeleine;Métro 12;Station;Mairie d'Aubervilliers;1;Métro 12
Station;Mairie d'Aubervilliers;Métro 12;Station;Mairie d'Issy;1;Métro 12
Station;Mairie d'Issy;Métro 12;Station;Marcadet - Poissonniers;1;Métro 12
Station;Marcadet - Poissonniers;Métro 12;Station;Marx Dormoy;1;Métro 12
Station;Marx Dormoy;Métro 12;Station;Montparnasse Bienvenue;1;Métro 12
Station;Montparnasse Bienvenue;Métro 12;Station;Notre-Dame des Champs;1;Métro 12
Station;Notre-Dame des Champs;Métro 12;Station;Notre-Dame-de-Lorette;1;Métro 12
Station;Notre-Dame-de-Lorette;Métro 12;Station;Pasteur;1;Métro 12
Station;Pasteur;Métro 12;Station;Pigalle;1;Métro 12
Station;Pigalle;Métro 12;Station;Porte de Versailles;1;Métro 12
Station;Porte de Versailles;Métro 12;Station;Porte de la Chapelle;1;Métro 12
Station;Porte de la Chapelle;Métro 12;Station;Rennes;1;Métro 12
Station;Rennes;Métro 12;Station;Rue du Bac;1;Métro 12
Station;Rue du Bac;Métro 12;Station;Saint-Georges;1;Métro 12
Station;Saint-Georges;Métro 12;Station;Saint-Lazare;1;Métro 12
Station;Saint-Lazare;Métro 12;Station;Solférino;1;Métro 12
Station;Solférino;Métro 12;Station;Sèvres - Babylone;1;Métro 12
Station;Sèvres - Babylone;Métro 12;Station;Trinité - d'Estienne d'Orves;1;Métro 12
Station;Trinité - d'Estienne d'Orves;Métro 12;Station;Vaugirard;1;Métro 12
Station;Vaugirard;Métro 12;Station;Volontaires;1;Métro 12
Station;Asnières - Gennevilliers Les Courtilles;Métro 13;Station;Basilique de Saint-Denis;1;Métro 13
Station;Basilique de Saint-Denis;Métro 13;Station;Brochant;1;Métro 13
Station;Brochant;Métro 13;Station;Carrefour Pleyel;1;Métro 13
Station;Carrefour Pleyel;Métro 13;Station;Champs-Elysées - Clemenceau;1;Métro 13
Station;Champs-Elysées - Clemenceau;Métro 13;Station;Châtillon-Montrouge;1;Métro 13
Station;Châtillon-Montrouge;Métro 13;Station;Duroc;1;Métro 13
Station;Duroc;Métro 13;Station;Gabriel Péri;1;Métro 13
Station;Gabriel Péri;Métro 13;Station;Garibaldi;1;Métro 13
Station;Garibaldi;Métro 13;Station;Gaîté;1;Métro 13
Station;Gaîté;Métro 13;Station;Guy Môquet;1;Métro 13
Station;Guy Môquet;Métro 13;Station;Invalides;1;Métro 13
Station;Invalides;Métro 13;Station;La Fourche;1;Métro 13
Station;La Fourche;Métro 13;Station;Les Agnettes;1;Métro 13
Station;Les Agnettes;Métro 13;Station;Liège;1;Métro 13
Station;Liège;Métro 13;Station;Mairie de Clichy;1;Métro 13
Station;Mairie de Clichy;Métro 13;Station;Mairie de Saint-Ouen;1;Métro 13
Station;Mairie de Saint-Ouen;Métro 13;Station;Malakoff - Plateau de Vanves;1;Métro 13
Station;Malakoff - Plateau de Vanves;Métro 13;Station;Malakoff - Rue Etienne Dolet;1;Métro 13
Station;Malakoff - Rue Etienne Dolet;Métro 13;Station;Miromesnil;1;Métro 13
Station;Miromesnil;Métro 13;Station;Montparnasse Bienvenue;1;Métro 13
Station;Montparnasse Bienvenue;Métro 13;Station;Pernety;1;Métro 13
Station;Pernety;Métro 13;Station;Place de Clichy;1;Métro 13
Station;Place de Clichy;Métro 13;Station;Plaisance;1;Métro 13
Station;Plaisance;Métro 13;Station;Porte de Clichy;1;Métro 13
Station;Porte de Clichy;Métro 13;Station;Porte de Saint-Ouen;1;Métro 13
Station;Porte de Saint-Ouen;Métro 13;Station;Porte de Vanves;1;Métro 13
Station;Porte de Vanves;Métro 13;Station;Saint-Denis - Porte de Paris;1;Métro 13
Station;Saint-Denis - Porte de Paris;Métro 13;Station;Saint-Denis - Université;1;Métro 13
Station;Saint-Denis - Université;Métro 13;Station;Saint-François-Xavier;1;Métro 13
Station;Saint-François-Xavier;Métro 13;Station;Saint-Lazare;1;Métro 13
Station;Saint-Lazare;Métro 13;Station;Varenne;1;Métro 13
Station;Aéroport d'Orly;Métro 14;Station;Bercy;1;Métro 14
Station;Bercy;Métro 14;Station;Bibliothèque François Mitterrand;1;Métro 14
Station;Bibliothèque François Mitterrand;Métro 14;Station;Chevilly-Larue (Marché International);1;Métro 14
Station;Chevilly-Larue (Marché International);Métro 14;Station;Châtelet;1;Métro 14
Station;Châtelet;Métro 14;Station;Cour Saint-Emilion;1;Métro 14
Station;Cour Saint-Emilion;Métro 14;Station;Gare de Lyon;1;Métro 14
Station;Gare de Lyon;Métro 14;Station;Hôpital Bicêtre;1;Métro 14
Station;Hôpital Bicêtre;Métro 14;Station;L'Haÿ-les-Roses;1;Métro 14
Station;L'Haÿ-les-Roses;Métro 14;Station;Madeleine;1;Métro 14
Station;Madeleine;Métro 14;Station;Mairie de Saint-Ouen;1;Métro 14
Station;Mairie de Saint-Ouen;Métro 14;Station;Maison Blanche;1;Métro 14
Station;Maison Blanche;Métro 14;Station;Olympiades;1;Métro 14
Station;Olympiades;Métro 14;Station;Pont Cardinet;1;Métro 14
Station;Pont Cardinet;Métro 14;Station;Porte de Clichy;1;Métro 14
